"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2024-01-01T07:00+0100","Zch_Stampfenbachstrasse","WD","h1","°",240.51,"provisorisch"
"2024-01-01T07:00+0100","Zch_Stampfenbachstrasse","WVv","h1","m/s",2.94,"provisorisch"
"2024-01-01T07:00+0100","Zch_Stampfenbachstrasse","WVs","h1","m/s",3.08,"provisorisch"
"2024-01-01T07:00+0100","Zch_Schimmelstrasse","T","h1","°C",5.87,"provisorisch"
"2024-01-01T07:00+0100","Zch_Schimmelstrasse","Hr","h1","%Hr",83.7,"provisorisch"
"2024-01-01T07:00+0100","Zch_Schimmelstrasse","p","h1","hPa",965.32,"provisorisch"
"2024-01-01T07:00+0100","Zch_Schimmelstrasse","RainDur","h1","min",0.02,"provisorisch"
"2024-01-01T07:00+0100","Zch_Schimmelstrasse","WD","h1","°",97.95,"provisorisch"
"2024-01-01T07:00+0100","Zch_Schimmelstrasse","WVv","h1","m/s",0.05,"provisorisch"
"2024-01-01T07:00+0100","Zch_Schimmelstrasse","WVs","h1","m/s",0.94,"provisorisch"
"2024-01-01T07:00+0100","Zch_Rosengartenstrasse","T","h1","°C",5.24,"provisorisch"
"2024-01-01T07:00+0100","Zch_Rosengartenstrasse","Hr","h1","%Hr",78.37,"provisorisch"
"2024-01-01T07:00+0100","Zch_Rosengartenstrasse","p","h1","hPa",963.02,"provisorisch"
"2024-01-01T07:00+0100","Zch_Rosengartenstrasse","RainDur","h1","min",0,"provisorisch"
"2024-01-01T07:00+0100","Zch_Rosengartenstrasse","WD","h1","°",207.96,"provisorisch"
"2024-01-01T07:00+0100","Zch_Rosengartenstrasse","WVv","h1","m/s",0.5,"provisorisch"
"2024-01-01T07:00+0100","Zch_Rosengartenstrasse","WVs","h1","m/s",0.58,"provisorisch"
"2024-01-01T08:00+0100","Zch_Stampfenbachstrasse","T","h1","°C",6,"provisorisch"
"2024-01-01T08:00+0100","Zch_Stampfenbachstrasse","Hr","h1","%Hr",68.83,"provisorisch"
"2024-01-01T08:00+0100","Zch_Stampfenbachstrasse","p","h1","hPa",963.28,"provisorisch"
"2024-01-01T08:00+0100","Zch_Stampfenbachstrasse","RainDur","h1","min",0,"provisorisch"
"2024-01-01T08:00+0100","Zch_Stampfenbachstrasse","StrGlo","h1","W/m2",10.53,"provisorisch"
"2024-01-01T08:00+0100","Zch_Stampfenbachstrasse","WD","h1","°",233.84,"provisorisch"
"2024-01-01T08:00+0100","Zch_Stampfenbachstrasse","WVv","h1","m/s",2.76,"provisorisch"
"2024-01-01T08:00+0100","Zch_Stampfenbachstrasse","WVs","h1","m/s",2.9,"provisorisch"
"2024-01-01T08:00+0100","Zch_Schimmelstrasse","T","h1","°C",6.18,"provisorisch"
"2024-01-01T08:00+0100","Zch_Schimmelstrasse","Hr","h1","%Hr",81.53,"provisorisch"
"2024-01-01T08:00+0100","Zch_Schimmelstrasse","p","h1","hPa",965.82,"provisorisch"
"2024-01-01T08:00+0100","Zch_Schimmelstrasse","RainDur","h1","min",0,"provisorisch"
"2024-01-01T08:00+0100","Zch_Schimmelstrasse","WD","h1","°",131.58,"provisorisch"
"2024-01-01T08:00+0100","Zch_Schimmelstrasse","WVv","h1","m/s",0.04,"provisorisch"
"2024-01-01T08:00+0100","Zch_Schimmelstrasse","WVs","h1","m/s",1.04,"provisorisch"
"2024-01-01T08:00+0100","Zch_Rosengartenstrasse","T","h1","°C",5.64,"provisorisch"
"2024-01-01T08:00+0100","Zch_Rosengartenstrasse","Hr","h1","%Hr",74.85,"provisorisch"
"2024-01-01T08:00+0100","Zch_Rosengartenstrasse","p","h1","hPa",963.59,"provisorisch"
"2024-01-01T08:00+0100","Zch_Rosengartenstrasse","RainDur","h1","min",0,"provisorisch"
"2024-01-01T08:00+0100","Zch_Rosengartenstrasse","WD","h1","°",207.1,"provisorisch"
"2024-01-01T08:00+0100","Zch_Rosengartenstrasse","WVv","h1","m/s",0.5,"provisorisch"
"2024-01-01T08:00+0100","Zch_Rosengartenstrasse","WVs","h1","m/s",0.59,"provisorisch"
"2024-01-01T09:00+0100","Zch_Stampfenbachstrasse","T","h1","°C",6.33,"provisorisch"
"2024-01-01T09:00+0100","Zch_Stampfenbachstrasse","Hr","h1","%Hr",66.31,"provisorisch"
"2024-01-01T09:00+0100","Zch_Stampfenbachstrasse","p","h1","hPa",963.51,"provisorisch"
"2024-01-01T09:00+0100","Zch_Stampfenbachstrasse","RainDur","h1","min",0.32,"provisorisch"
"2024-01-01T09:00+0100","Zch_Stampfenbachstrasse","StrGlo","h1","W/m2",53.06,"provisorisch"
"2024-01-01T09:00+0100","Zch_Stampfenbachstrasse","WD","h1","°",238.48,"provisorisch"
"2024-01-01T09:00+0100","Zch_Stampfenbachstrasse","WVv","h1","m/s",3.44,"provisorisch"
"2024-01-01T09:00+0100","Zch_Stampfenbachstrasse","WVs","h1","m/s",3.71,"provisorisch"
"2024-01-01T09:00+0100","Zch_Schimmelstrasse","T","h1","°C",6.49,"provisorisch"
"2024-01-01T09:00+0100","Zch_Schimmelstrasse","Hr","h1","%Hr",79.35,"provisorisch"
"2024-01-01T09:00+0100","Zch_Schimmelstrasse","p","h1","hPa",966.08,"provisorisch"
"2024-01-01T09:00+0100","Zch_Schimmelstrasse","RainDur","h1","min",1.83,"provisorisch"
"2024-01-01T09:00+0100","Zch_Schimmelstrasse","WD","h1","°",33.29,"provisorisch"
"2024-01-01T09:00+0100","Zch_Schimmelstrasse","WVv","h1","m/s",0.13,"provisorisch"
"2024-01-01T09:00+0100","Zch_Schimmelstrasse","WVs","h1","m/s",0.9,"provisorisch"
"2024-01-01T09:00+0100","Zch_Rosengartenstrasse","T","h1","°C",6.15,"provisorisch"
"2024-01-01T09:00+0100","Zch_Rosengartenstrasse","Hr","h1","%Hr",70.93,"provisorisch"
"2024-01-01T09:00+0100","Zch_Rosengartenstrasse","p","h1","hPa",963.84,"provisorisch"
"2024-01-01T09:00+0100","Zch_Rosengartenstrasse","RainDur","h1","min",0.17,"provisorisch"
"2024-01-01T09:00+0100","Zch_Rosengartenstrasse","WD","h1","°",217.3,"provisorisch"
"2024-01-01T09:00+0100","Zch_Rosengartenstrasse","WVv","h1","m/s",0.67,"provisorisch"
"2024-01-01T09:00+0100","Zch_Rosengartenstrasse","WVs","h1","m/s",0.75,"provisorisch"
"2024-01-01T10:00+0100","Zch_Stampfenbachstrasse","T","h1","°C",6.54,"provisorisch"
"2024-01-01T10:00+0100","Zch_Stampfenbachstrasse","Hr","h1","%Hr",66.89,"provisorisch"
"2024-01-01T10:00+0100","Zch_Stampfenbachstrasse","p","h1","hPa",963.94,"provisorisch"
"2024-01-01T10:00+0100","Zch_Stampfenbachstrasse","RainDur","h1","min",0,"provisorisch"
"2024-01-01T10:00+0100","Zch_Stampfenbachstrasse","StrGlo","h1","W/m2",94.94,"provisorisch"
"2024-01-01T10:00+0100","Zch_Stampfenbachstrasse","WD","h1","°",227.72,"provisorisch"
"2024-01-01T10:00+0100","Zch_Stampfenbachstrasse","WVv","h1","m/s",2.65,"provisorisch"
"2024-01-01T10:00+0100","Zch_Stampfenbachstrasse","WVs","h1","m/s",2.83,"provisorisch"
"2024-01-01T10:00+0100","Zch_Schimmelstrasse","T","h1","°C",6.7,"provisorisch"
"2024-01-01T10:00+0100","Zch_Schimmelstrasse","Hr","h1","%Hr",78.49,"provisorisch"
"2024-01-01T10:00+0100","Zch_Schimmelstrasse","p","h1","hPa",966.46,"provisorisch"
"2024-01-01T10:00+0100","Zch_Schimmelstrasse","RainDur","h1","min",0,"provisorisch"
"2024-01-01T10:00+0100","Zch_Schimmelstrasse","WD","h1","°",139.3,"provisorisch"
"2024-01-01T10:00+0100","Zch_Schimmelstrasse","WVv","h1","m/s",0.17,"provisorisch"
"2024-01-01T10:00+0100","Zch_Schimmelstrasse","WVs","h1","m/s",1.08,"provisorisch"
"2024-01-01T10:00+0100","Zch_Rosengartenstrasse","T","h1","°C",6.6,"provisorisch"
"2024-01-01T10:00+0100","Zch_Rosengartenstrasse","Hr","h1","%Hr",69.9,"provisorisch"
"2024-01-01T10:00+0100","Zch_Rosengartenstrasse","p","h1","hPa",964.22,"provisorisch"
"2024-01-01T10:00+0100","Zch_Rosengartenstrasse","RainDur","h1","min",0,"provisorisch"
"2024-01-01T10:00+0100","Zch_Rosengartenstrasse","WD","h1","°",217.28,"provisorisch"
"2024-01-01T10:00+0100","Zch_Rosengartenstrasse","WVv","h1","m/s",0.71,"provisorisch"
"2024-01-01T10:00+0100","Zch_Rosengartenstrasse","WVs","h1","m/s",0.8,"provisorisch"
"2024-01-01T11:00+0100","Zch_Stampfenbachstrasse","T","h1","°C",7.23,"provisorisch"
"2024-01-01T11:00+0100","Zch_Stampfenbachstrasse","Hr","h1","%Hr",63.96,"provisorisch"
"2024-01-01T11:00+0100","Zch_Stampfenbachstrasse","p","h1","hPa",963.98,"provisorisch"
"2024-01-01T11:00+0100","Zch_Stampfenbachstrasse","RainDur","h1","min",0,"provisorisch"
"2024-01-01T11:00+0100","Zch_Stampfenbachstrasse","StrGlo","h1","W/m2",284.18,"provisorisch"
"2024-01-01T11:00+0100","Zch_Stampfenbachstrasse","WD","h1","°",241.09,"provisorisch"
"2024-01-01T11:00+0100","Zch_Stampfenbachstrasse","WVv","h1","m/s",3.29,"provisorisch"
"2024-01-01T11:00+0100","Zch_Stampfenbachstrasse","WVs","h1","m/s",3.38,"provisorisch"
"2024-01-01T11:00+0100","Zch_Schimmelstrasse","T","h1","°C",7.52,"provisorisch"
"2024-01-01T11:00+0100","Zch_Schimmelstrasse","Hr","h1","%Hr",73.68,"provisorisch"
"2024-01-01T11:00+0100","Zch_Schimmelstrasse","p","h1","hPa",966.54,"provisorisch"
"2024-01-01T11:00+0100","Zch_Schimmelstrasse","RainDur","h1","min",0,"provisorisch"
"2024-01-01T11:00+0100","Zch_Schimmelstrasse","WD","h1","°",136.18,"provisorisch"
"2024-01-01T11:00+0100","Zch_Schimmelstrasse","WVv","h1","m/s",0.44,"provisorisch"
"2024-01-01T11:00+0100","Zch_Schimmelstrasse","WVs","h1","m/s",1.09,"provisorisch"
